event_bits,evt_cmd_high_freq_toggle,evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric_set,high_freq,rc_s0,rc_s1,seq,shoot_mode,tick_ms,trigger_cur,trigger_spd_set,vt03_toe
1048832,0,0,1,1,0.0,0,3,2,54940,0,1098843,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54941,0,1098863,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54942,0,1098883,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54943,0,1098903,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54944,0,1098923,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54945,0,1098943,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54946,0,1098963,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54947,0,1098983,0,0.0,0
1048832,0,0,1,1,0.0,0,3,2,54948,0,1099003,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54949,0,1099023,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54950,0,1099043,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54951,0,1099063,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54952,0,1099083,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54953,0,1099103,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54954,0,1099123,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54955,0,1099143,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54956,0,1099163,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54957,0,1099183,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54958,0,1099203,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54959,0,1099223,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54960,0,1099243,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54961,0,1099263,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54962,0,1099283,0,0.0,0
1049344,0,1,1,1,0.0,0,3,2,54963,0,1099303,0,0.0,0
1049344,0,1,1,1,0.0,1,3,2,54964,0,1099323,0,0.0,0
