fric1_rpm,fric_set,i1,i2,i3,i4,key_v,pitch_cur,shoot_mode,yaw_cur
0,0.0,205,111,348,279,0,-793,0,317
0,0.0,336,329,273,317,0,-782,0,314
0,0.0,155,74,298,148,0,-773,0,281
0,0.0,299,385,205,136,0,-812,0,271
0,0.0,130,254,49,198,0,-760,0,268
0,0.0,230,398,61,210,0,-752,0,280
0,0.0,218,42,310,460,0,-742,0,280
0,0.0,243,161,336,279,0,-735,0,263
0,0.0,243,186,155,366,0,-773,0,245
0,0.0,193,280,223,366,0,-720,0,237
0,0.0,417,205,117,267,0,-713,0,215
0,0.0,-1935,-2054,-2235,-1706,2048,0,0,0
