bullet_cnt,fric1_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd
6,4823,9.183,6,-10000,274133,256246,-12.571
6,4842,8.943,6,10000,251202,256246,-25.055
6,4888,8.703,6,10000,229794,256246,-21.495
6,4884,8.463,6,10000,226114,256246,-2.848
6,4875,8.223,2,0,230749,256246,5.309
6,4869,7.983,2,0,233659,256246,2.923
6,4934,7.743,2,0,234690,256246,0.997
6,4869,7.503,2,0,234632,256246,-0.105
6,4898,7.263,2,0,234597,256246,-0.044
6,4879,7.023,2,0,234580,256246,-0.022
6,4850,6.783,2,0,234452,256246,-0.159
6,4905,6.543,2,0,234311,256246,-0.142
6,4861,6.303,2,0,234312,256246,0.002
6,4890,6.063,2,0,234312,256246,0.0
6,4888,5.823,2,0,234312,256246,0.0
6,4865,5.583,2,0,234312,256246,0.0
6,4913,5.343,2,0,234312,256246,0.0
6,4871,5.103,2,0,234308,256246,-0.008
6,4896,4.863,2,0,234308,256246,0.0
6,4898,4.623,2,0,234308,256246,0.0
6,4879,4.383,2,0,234308,256246,0.0
6,4848,4.143,2,0,234308,256246,0.0
6,4907,3.903,2,0,234308,256246,0.0
6,4859,3.663,2,0,234308,256246,0.0
6,4886,3.423,2,0,234308,256246,0.0
6,4888,3.183,4,10000,234637,293110,0.212
6,4865,2.943,4,10000,243191,293110,9.134
6,4624,2.703,4,10000,259999,293110,18.737
6,4827,2.463,4,10000,287724,293110,30.213
7,4746,12.223,6,-10000,321452,293110,36.825
7,4677,11.983,6,-10000,339937,293110,18.874
7,4804,11.743,6,-10000,341432,293110,0.683
7,4884,11.503,6,-10000,328498,293110,-14.407
7,4848,11.263,6,-10000,321486,293110,-4.646
7,4888,11.023,2,0,324203,293110,3.22
7,4892,10.783,2,0,327200,293110,3.116
7,4867,10.543,2,0,328906,293110,1.702
7,4863,10.303,2,0,329673,293110,0.672
7,4932,10.063,2,0,329769,293110,0.017
7,4867,9.823,2,0,329690,293110,-0.089
7,4896,9.583,2,0,329697,293110,0.0
7,4886,9.343,2,0,329697,293110,0.0
7,4848,9.103,2,0,329697,293110,0.0
7,4907,8.863,2,0,329697,293110,0.0
7,4856,8.623,2,0,329697,293110,0.0
7,4888,8.383,2,0,329697,293110,0.0
7,4894,8.143,2,0,329697,293110,0.0
7,4867,7.903,2,0,329697,293110,0.0
7,4915,7.663,2,0,329697,293110,0.0
