i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power
2725,684,-2353,-1949,-38.0,120.0,79.12,5900
2685,1072,-1504,-1761,-40.0,120.0,73.37,6000
2436,1129,-1245,-1735,-40.0,120.0,69.39,6000
1627,1027,-1161,-2201,-40.0,120.0,63.72,6000
590,1511,-602,-2637,-40.0,120.0,55.73,6000
764,1782,-222,-2505,-40.0,120.0,55.54,6000
735,2195,258,-2478,-40.0,120.0,54.29,6000
102,2178,-39,-2699,-40.0,120.0,53.0,6000
329,2061,374,-2047,-40.0,120.0,47.67,6000
286,2184,369,-2337,-40.0,120.0,49.77,6000
286,1914,207,-2433,-40.0,120.0,50.18,6000
14,1897,-198,-2827,-40.0,120.0,53.48,6000
291,2140,295,-2503,-40.0,120.0,51.87,6000
248,2016,232,-2035,-40.0,120.0,49.04,6000
224,2285,372,-2502,-40.0,120.0,52.52,6000
2,2447,523,-2603,-40.0,120.0,51.69,6000
-3,2227,424,-2824,-40.0,120.0,49.99,6000
92,2196,208,-2582,-40.0,120.0,49.99,6000
-13835,-12222,13466,8889,-40.0,120.0,49.99,6000
-2341,-3478,5016,1057,-40.0,120.0,6.71,6000
-1571,-3175,3921,-297,-40.0,120.0,9.26,6000
-1278,-2787,4947,1262,-40.0,120.0,8.43,6000
-2034,-2400,3974,1143,-40.0,120.0,9.31,6000
-1451,-3490,4112,728,-40.0,120.0,8.86,6000
-2159,-2403,3219,484,-40.0,120.0,10.9,6000
-2188,-3118,4024,184,-40.0,120.0,9.19,6000
-1234,-3086,3701,188,-40.0,120.0,10.85,6000
-1974,-2536,3911,821,-40.0,120.0,10.1,6000
-1955,-2688,3867,1102,-40.0,120.0,9.98,6000
-1496,-2869,4155,272,-40.0,120.0,11.09,6000
-1970,-2834,4078,917,-40.0,120.0,11.09,6000
-2305,-3204,4162,1548,-40.0,120.0,11.09,6000
-3148,-4175,6143,2993,-40.0,120.0,11.09,6000
-4828,-5516,8238,3190,-40.0,120.0,43.63,6000
-5456,-7678,10291,3415,-40.0,120.0,80.0,6000
-5815,-7902,9655,3957,-40.0,120.0,132.13,6000
-5542,-9062,10656,3626,-40.0,120.0,141.06,6000
-3028,-7463,9367,1054,-40.0,120.0,141.06,6000
-4398,-5751,10639,933,-40.0,120.0,141.06,6000
-3725,-4148,7649,710,-30.0,120.0,152.49,5500
-4132,-2959,7214,1232,-30.0,120.0,164.24,5500
-4647,-2626,6546,747,-30.0,120.0,163.94,5500
-4721,-1076,7371,395,-28.0,120.0,190.14,5400
-4905,-395,6926,429,-28.0,120.0,197.98,5400
-4973,315,6404,811,-28.0,120.0,203.24,5400
-6341,-428,8736,1456,-28.0,120.0,211.01,5400
-5409,-32,6228,1318,-28.0,120.0,211.01,5400
-4828,-73,5478,919,-28.0,120.0,211.01,5400
-4664,-1653,4243,944,-20.0,120.0,135.82,5000
-4654,-325,4659,730,-20.0,120.0,151.28,5000
-5091,273,4674,803,-20.0,120.0,173.33,5000
-4555,752,5431,844,-20.0,120.0,193.43,5000
-4846,-19,5044,567,-20.0,120.0,189.34,5000
-4165,109,5597,642,-20.0,120.0,192.79,5000
-4260,-807,5231,635,-20.0,120.0,182.95,5000
-4196,-1959,4747,930,-16.69,120.0,159.28,4900
-4070,-3091,4393,1478,-14.99,120.0,137.42,4900
-2341,-3668,3547,1944,-13.29,120.0,99.42,4900
-2023,-4401,2379,2425,-11.69,120.0,87.85,4900
-1476,-4072,1307,2361,-10.09,120.0,73.14,4900
23,-3459,647,3678,-8.49,120.0,57.99,4900
448,-3101,72,4339,-7.99,120.0,56.04,4900
16000,13627,-16000,-12439,-7.99,120.0,56.04,4900
4175,806,-6960,-917,-7.99,120.0,56.04,4900
2206,103,-2700,-1844,-33.99,120.0,11.21,6000
3717,250,-3155,-1259,-40.0,120.0,9.9,6000
4236,-6,-2065,-1419,-40.0,120.0,10.61,6000
3926,-401,-2929,-1748,-40.0,120.0,9.72,6000
3501,-606,-3068,-1569,-40.0,120.0,10.32,6000
2729,-661,-2612,-1115,-40.0,120.0,12.36,6000
2877,-918,-2818,-1074,-40.0,120.0,11.86,6000
3783,-330,-2114,-245,-40.0,120.0,12.32,6000
3519,-152,-2880,-382,-40.0,120.0,12.32,6000
2091,-5,-2818,-668,-40.0,120.0,12.32,6000
2380,522,-2821,-1203,-40.0,120.0,12.32,6000
2692,599,-2284,-2184,-40.0,120.0,12.32,6000
1855,1753,-1795,-3676,-40.0,120.0,14.49,6000
1738,3152,-969,-4061,-40.0,120.0,20.25,6000
454,3730,385,-5107,-40.0,120.0,34.05,6000
-1167,4256,2073,-5038,-40.0,120.0,52.46,6000
-2276,4185,3271,-4392,-40.0,120.0,65.86,6000
-4199,5123,3343,-3611,-40.0,120.0,77.93,6000
-4668,5121,3492,-2867,-40.0,120.0,77.93,6000
-4462,3835,2484,-1719,-40.0,120.0,77.93,6000
-3348,3330,2136,-1424,-40.0,120.0,57.15,6000
2353,-2693,-3639,2338,-40.0,120.0,8.89,6000
1930,-2109,-3454,2035,-40.0,120.0,11.1,6000
944,-1881,-4131,2175,-40.0,120.0,12.71,6000
1236,-1667,-4542,3399,-40.0,120.0,14.15,6000
2588,-2995,-3933,2897,-40.0,120.0,20.04,6000
3609,-2827,-4601,3410,-40.0,120.0,26.49,6000
3844,-3146,-6524,4372,-40.0,120.0,27.97,6000
4158,-3757,-7706,6009,-40.0,120.0,27.97,6000
3613,-2757,-7798,6259,-40.0,120.0,27.97,6000
3742,-3252,-9077,6222,-40.0,120.0,27.97,6000
4703,-3045,-8082,6129,-40.0,120.0,74.01,6000
3285,-2348,-8743,5887,-40.0,120.0,77.46,6000
4441,-2074,-6761,5445,-40.0,120.0,83.46,6000
3521,-2597,-7208,5254,-40.0,120.0,89.8,6000
3028,-1927,-6740,5765,-40.0,120.0,91.21,6000
2732,-2244,-6575,4436,-40.0,120.0,88.09,6000
2709,-2132,-5887,4286,-40.0,120.0,85.21,6000
2249,-2536,-5643,3765,-40.0,120.0,82.74,6000
3153,-2190,-4940,3827,-40.0,120.0,83.95,6000
2719,-2003,-4320,3461,-40.0,120.0,83.95,6000
2852,-2179,-3612,3057,-40.0,120.0,83.95,6000
2886,-2168,-3408,2909,-40.0,120.0,73.13,6000
2945,-1962,-2696,3121,-40.0,120.0,70.01,6000
2314,-2047,-2505,2170,-40.0,120.0,63.45,6000
2393,-1765,-1906,2436,-40.0,120.0,60.64,6000
