evt_fn1_cur,evt_s0_not_down,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,1,0,0,0.0,3,2,140016,2800363,0,0
0,1,1,0,0,0.0,3,2,140017,2800383,0,0
0,1,1,0,0,0.0,3,2,140018,2800403,0,0
0,1,1,0,0,0.0,3,2,140019,2800423,0,0
0,1,1,0,0,0.0,3,2,140020,2800443,0,0
0,1,1,0,0,0.0,3,2,140021,2800463,0,0
0,1,1,0,0,0.0,3,2,140022,2800483,0,0
0,1,1,0,0,0.0,3,2,140023,2800503,0,0
0,1,1,0,0,0.0,3,2,140024,2800523,0,0
0,1,1,0,0,0.0,3,2,140025,2800543,0,0
0,1,1,0,0,0.0,3,2,140026,2800563,0,0
0,1,1,0,0,0.0,3,2,140027,2800583,0,0
0,1,1,0,0,0.0,3,2,140028,2800603,0,0
0,1,1,0,0,0.0,3,2,140029,2800623,0,0
0,1,1,0,0,0.0,3,2,140030,2800643,0,0
0,1,1,0,0,0.0,3,2,140031,2800663,0,0
0,1,1,0,0,0.0,3,2,140032,2800683,0,0
0,1,1,0,0,0.0,3,2,140033,2800703,0,0
0,1,1,0,0,0.0,3,2,140034,2800723,0,0
0,1,1,0,0,0.0,3,2,140035,2800743,0,0
0,1,1,0,0,0.0,3,2,140036,2800763,0,0
0,1,1,0,0,0.0,3,2,140037,2800783,0,0
0,1,1,0,0,0.0,3,2,140038,2800803,0,0
0,1,1,-3,0,0.0,3,2,140039,2800823,0,0
0,1,1,0,0,0.0,3,2,140040,2800843,0,0
0,1,1,0,0,0.0,3,2,140041,2800863,0,0
0,1,1,0,0,0.0,3,2,140042,2800883,0,0
0,1,1,0,0,0.0,3,2,140043,2800903,0,0
0,1,1,0,0,0.0,3,2,140044,2800923,0,0
0,1,1,0,0,0.0,3,2,140045,2800943,0,0
0,1,1,0,0,0.0,3,2,140046,2800963,0,0
0,1,1,0,0,0.0,3,2,140047,2800983,0,0
0,1,1,0,0,0.0,3,2,140048,2801003,0,0
0,1,1,0,0,0.0,3,2,140049,2801023,0,0
0,1,1,0,0,0.0,3,2,140050,2801043,0,0
0,1,1,0,0,0.0,3,2,140051,2801063,0,0
0,1,1,0,0,0.0,3,2,140052,2801083,0,0
0,1,1,0,0,0.0,3,2,140053,2801103,0,0
0,1,1,0,0,0.0,3,2,140054,2801123,0,0
0,1,1,0,0,0.0,3,2,140055,2801143,0,0
0,1,1,0,0,0.0,3,2,140056,2801163,0,0
0,1,1,0,0,0.0,3,2,140057,2801183,0,0
0,1,1,0,0,0.0,3,2,140058,2801203,0,0
0,1,1,0,0,0.0,3,2,140059,2801223,0,0
0,1,1,0,0,0.0,3,2,140060,2801243,0,0
0,1,1,0,0,0.0,3,2,140061,2801263,0,0
0,1,1,0,0,0.0,3,2,140062,2801283,0,0
1,1,1,0,0,0.0,3,2,140063,2801303,0,0
1,1,1,0,0,0.0,3,2,140064,2801323,0,0
1,1,1,0,0,0.0,3,2,140065,2801343,0,0
1,1,1,0,0,0.0,3,2,140066,2801363,0,0
1,1,1,0,0,0.0,3,2,140067,2801383,0,0
1,1,1,0,0,0.0,3,2,140068,2801403,0,0
0,1,1,362,-360,159900.0,3,2,140069,2801423,0,0
