i1,i2,i3,i4,model_input,model_max,model_power,ref_chassis_power,ref_toe
-1466,-2700,4889,1791,-40.0,120.0,43.24,6000,0
-1501,-1972,5599,2142,-40.0,120.0,47.63,6000,0
-1666,-812,5329,1901,-40.0,120.0,46.28,6000,0
-1606,-431,4148,1763,-40.0,120.0,43.21,6000,0
-1653,136,3841,1086,-40.0,120.0,41.58,6000,0
-1253,185,2945,1006,-40.0,120.0,40.27,6000,1
-1206,172,2412,773,-40.0,120.0,40.27,6000,1
-880,580,2349,689,-40.0,120.0,40.27,6000,1
-471,466,1453,634,-40.0,120.0,32.29,6000,0
-503,470,1130,642,-40.0,120.0,30.49,6000,0
121,475,868,673,-40.0,120.0,32.68,6000,0
88,585,660,748,-40.0,120.0,32.33,6000,0
193,564,730,612,-40.0,120.0,32.43,6000,0
468,524,450,943,-40.0,120.0,33.88,6000,0
481,307,251,831,-40.0,120.0,31.12,6000,0
183,345,398,1133,-40.0,120.0,32.19,6000,0
303,346,833,1036,-40.0,120.0,34.69,6000,0
580,191,1157,1151,-40.0,120.0,37.64,6000,0
406,216,947,1173,-40.0,120.0,35.8,6000,1
677,370,945,649,-40.0,120.0,35.8,6000,1
1084,559,231,379,-40.0,120.0,35.8,6000,1
1977,1188,-460,45,-40.0,120.0,35.8,6000,1
3005,1331,-1829,-311,-40.0,120.0,41.75,6000,0
4426,937,-3193,-178,-40.0,120.0,52.48,6000,0
5879,692,-4006,363,-40.0,120.0,68.47,6000,0
5960,138,-4898,921,-40.0,120.0,70.65,6000,1
6697,-690,-5077,2367,-40.0,120.0,70.65,6000,1
6048,-1532,-4930,4032,-40.0,120.0,70.65,6000,1
5090,-2805,-4849,5691,-40.0,120.0,120.09,6000,0
3550,-2344,-2903,5744,-40.0,120.0,107.73,6000,0
2316,-3068,-2475,5242,-40.0,120.0,91.65,6000,0
2092,-2770,-1625,5938,-40.0,120.0,100.92,6000,0
1600,-3161,-699,6263,-40.0,120.0,106.75,6000,0
1289,-4489,348,5235,-40.0,120.0,102.9,6000,0
277,-3807,956,3990,-40.0,120.0,85.29,6000,0
-556,-2137,1945,3074,-40.0,120.0,67.75,6000,0
-785,-1070,2446,1246,-40.0,120.0,46.45,6000,0
1008,6957,361,-5446,-40.0,120.0,50.27,6000,0
2411,3359,-403,-2890,-40.0,120.0,41.1,6000,0
3644,2980,-408,-3485,-40.0,120.0,44.95,6000,0
4108,2232,-1163,-2979,-40.0,120.0,40.7,6000,0
4958,2597,-2415,-2541,-40.0,120.0,39.86,6000,1
5448,2271,-2145,-2883,-40.0,120.0,39.86,6000,1
5317,2238,-2008,-2098,-40.0,120.0,39.86,6000,1
5233,2112,-2013,-1698,-40.0,120.0,44.76,6000,0
4963,1802,-2238,-940,-40.0,120.0,42.45,6000,0
4772,1621,-1797,-12,-40.0,120.0,46.17,6000,0
3449,1082,-1968,421,-40.0,120.0,39.92,6000,1
2768,743,-1754,734,-40.0,120.0,39.92,6000,1
2299,458,-1370,1133,-40.0,120.0,39.92,6000,1
1927,194,-779,1223,-40.0,120.0,39.92,6000,1
1099,-411,-142,1687,-40.0,120.0,32.87,6000,0
364,-425,250,2049,-40.0,120.0,33.07,6000,0
44,-910,1124,1940,-40.0,120.0,33.45,6000,0
-628,-993,2473,1921,-40.0,120.0,37.91,6000,0
-1416,-929,3049,1171,-40.0,120.0,36.9,6000,0
-2260,-50,3618,793,-40.0,120.0,44.6,6000,0
-2576,511,4615,94,-40.0,120.0,52.34,6000,0
-2935,1558,5315,-431,-40.0,120.0,62.94,6000,0
-2768,2823,4818,-1113,-40.0,120.0,67.81,6000,0
-2734,3838,4606,-1867,-40.0,120.0,74.36,6000,1
-2627,4793,3948,-2225,-40.0,120.0,74.36,6000,1
-1923,5164,2849,-1905,-40.0,120.0,74.36,6000,1
-940,5344,2062,-1999,-40.0,120.0,74.36,6000,1
-501,5095,796,-1808,-40.0,120.0,76.92,6000,0
753,5141,-132,-2352,-40.0,120.0,80.3,6000,0
1698,4485,-1148,-2578,-40.0,120.0,78.09,6000,0
3100,3301,-1873,-3045,-40.0,120.0,77.47,6000,0
4162,3034,-2322,-2886,-40.0,120.0,85.43,6000,0
5079,2768,-2998,-2098,-40.0,120.0,93.03,6000,0
5602,2310,-2670,-1837,-40.0,120.0,96.7,6000,0
5726,1636,-2688,-1002,-40.0,120.0,97.61,6000,0
5605,1471,-2947,-106,-40.0,120.0,101.78,6000,0
5247,529,-3500,752,-40.0,120.0,95.77,6000,1
4819,-182,-3795,853,-40.0,120.0,95.77,6000,1
4407,-742,-3885,1959,-40.0,120.0,95.77,6000,1
4062,-828,-4581,2132,-40.0,120.0,94.1,6000,0
3453,-1320,-2523,2881,-40.0,120.0,90.83,6000,0
2090,-955,-1759,2498,-40.0,120.0,71.4,6000,0
729,-1120,-554,2401,-40.0,120.0,51.9,6000,0
-284,-1212,1192,2206,-40.0,120.0,39.22,6000,0
-773,-1285,1836,2269,-40.0,120.0,39.07,6000,0
-1232,-1642,2747,2559,-40.0,120.0,48.53,6000,0
