bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4905,-4874,0.0,5,1090,13396484,13372675,0.0,15.0
43,4844,-4878,0.0,5,1090,13396484,13372675,0.0,15.0
43,4913,-4885,0.0,5,1090,13396484,13372675,0.0,15.0
43,4877,-4899,0.0,5,1090,13396484,13372675,0.0,15.0
43,4879,-4870,0.0,5,-169,13396463,13372675,-0.03,-15.0
43,4871,-4912,0.0,5,-1089,13396357,13372675,-0.097,-15.0
43,4892,-4847,0.0,5,-1086,13395574,13372675,-0.664,-15.0
43,4884,-4876,0.0,5,-1078,13393397,13372675,-1.922,-15.0
43,4869,-4906,0.0,5,-1075,13390291,13372675,-2.344,-15.0
43,4892,-4885,0.0,5,-1080,13387838,13372675,-1.626,-15.0
43,4865,-4857,0.0,5,-1089,13387187,13372675,-0.13,-15.0
43,4882,-4914,0.0,5,-1090,13387207,13372675,0.011,-15.0
43,4875,-4885,0.0,5,-1089,13387210,13372675,0.0,-15.0
43,4867,-4885,0.0,5,-1090,13387210,13372675,0.0,-15.0
43,4869,-4897,0.0,5,-1090,13387210,13372675,0.0,-15.0
43,4875,-4899,0.0,5,-1089,13387212,13372675,-0.003,-15.0
43,4844,-4878,0.0,5,-1090,13387212,13372675,0.0,-15.0
43,4859,-4868,0.0,5,-1090,13387212,13372675,0.0,-15.0
43,4905,-4912,0.0,5,-1090,13387212,13372675,0.0,-15.0
43,4842,-4901,0.0,5,-1090,13387212,13372675,0.0,-15.0
43,4917,-4885,0.0,5,-1090,13387212,13372675,0.0,-15.0
43,4896,-4874,0.0,5,-505,13387229,13372675,0.011,15.0
43,4888,-4883,0.0,5,788,13387433,13372675,0.14,15.0
43,4894,-4893,0.0,5,1088,13387655,13372675,0.232,15.0
43,4873,-4883,0.0,5,1082,13389149,13372675,1.299,15.0
43,4873,-4883,0.0,5,1077,13391964,13372675,2.14,15.0
43,4879,-4901,0.0,5,1080,13394298,13372675,1.59,15.0
43,4871,-4885,0.0,5,1083,13395976,13372675,1.154,15.0
43,4865,-4883,0.0,5,1088,13396581,13372675,0.26,15.0
43,4869,-4876,0.0,5,1090,13396586,13372675,-0.009,15.0
43,4873,-4891,0.0,5,1089,13396586,13372675,0.0,15.0
43,4846,-4908,0.0,5,1090,13396586,13372675,0.0,15.0
43,4856,-4920,0.0,5,1090,13396585,13372675,-0.001,15.0
43,4905,-4916,0.0,5,1089,13396585,13372675,0.0,15.0
43,4894,-4891,0.0,5,1090,13396585,13372675,0.0,15.0
43,4900,-4883,0.0,5,1090,13396585,13372675,0.0,15.0
43,4898,-4920,0.0,5,1090,13396585,13372675,0.0,15.0
43,4890,-4899,0.0,5,1090,13396585,13372675,0.0,15.0
43,4861,-4876,0.0,5,1090,13396585,13372675,0.0,15.0
43,4869,-4887,0.0,5,1090,13396585,13372675,0.0,15.0
43,4890,-4901,0.0,5,1090,13396585,13372675,0.0,15.0
43,4865,-4885,0.0,5,1090,13396585,13372675,0.0,15.0
43,4896,-4864,0.0,5,1090,13396585,13372675,0.0,15.0
43,4846,-4887,0.0,5,1090,13396585,13372675,0.0,15.0
43,4898,-4885,0.0,5,1090,13396585,13372675,0.0,15.0
43,4890,-4906,0.0,5,1090,13396585,13372675,0.0,15.0
43,4886,-4899,0.0,5,1090,13396585,13372675,0.0,15.0
43,4856,-4878,0.0,5,1090,13396585,13372675,0.0,15.0
