evt_cmd_vt03_trigger,evt_s0_not_down,evt_trigger_cur,evt_vt03_online,fric1_rpm,fric2_rpm,fric_set,rc_s0,rc_s1,seq,tick_ms,trigger_cur,vt03_toe
0,1,0,1,9496,-9691,159900.0,3,2,143206,2864163,0,0
0,1,0,1,9496,-9683,159900.0,3,2,143207,2864183,0,0
0,1,0,1,9481,-9660,159900.0,3,2,143208,2864203,0,0
0,1,0,1,9473,-9708,159900.0,3,2,143209,2864223,0,0
0,1,0,1,9469,-9668,159900.0,3,2,143210,2864243,0,0
0,1,0,1,9477,-9694,159900.0,3,2,143211,2864263,0,0
0,1,0,1,9477,-9664,159900.0,3,2,143212,2864283,0,0
0,1,0,1,9490,-9668,159900.0,3,2,143213,2864303,0,0
0,1,0,1,9492,-9708,159900.0,3,2,143214,2864323,0,0
0,1,0,1,9492,-9658,159900.0,3,2,143215,2864343,0,0
0,1,0,1,9494,-9689,159900.0,3,2,143216,2864363,0,0
0,1,0,1,9477,-9694,159900.0,3,2,143217,2864383,0,0
0,1,0,1,9464,-9679,159900.0,3,2,143218,2864403,0,0
0,1,0,1,9477,-9700,159900.0,3,2,143219,2864423,0,0
0,1,0,1,9496,-9645,159900.0,3,2,143220,2864443,0,0
0,1,0,1,9515,-9689,159900.0,3,2,143221,2864463,0,0
0,1,0,1,9498,-9681,159900.0,3,2,143222,2864483,0,0
0,1,0,1,9477,-9683,159900.0,3,2,143223,2864503,0,0
0,1,0,1,9452,-9694,159900.0,3,2,143224,2864523,0,0
0,1,0,1,9454,-9658,159900.0,3,2,143225,2864543,0,0
0,1,0,1,9471,-9708,159900.0,3,2,143226,2864563,0,0
0,1,0,1,9494,-9673,159900.0,3,2,143227,2864583,0,0
0,1,0,1,9513,-9683,159900.0,3,2,143228,2864603,0,0
0,1,0,1,9506,-9677,159900.0,3,2,143229,2864623,0,0
0,1,0,1,9485,-9666,159900.0,3,2,143230,2864643,0,0
0,1,0,1,9471,-9704,159900.0,3,2,143231,2864663,0,0
0,1,0,1,9475,-9671,159900.0,3,2,143232,2864683,0,0
0,1,0,1,9487,-9671,159900.0,3,2,143233,2864703,0,0
0,1,0,1,9506,-9708,159900.0,3,2,143234,2864723,0,0
0,1,0,1,9500,-9675,159900.0,3,2,143235,2864743,0,0
0,1,0,1,9498,-9704,159900.0,3,2,143236,2864763,0,0
0,1,0,1,9479,-9658,159900.0,3,2,143237,2864783,0,0
0,1,0,1,9475,-9683,159900.0,3,2,143238,2864803,0,0
0,1,0,1,9469,-9704,159900.0,3,2,143239,2864823,0,0
0,1,0,1,9481,-9668,159900.0,3,2,143240,2864843,0,0
0,1,0,1,9487,-9702,159900.0,3,2,143241,2864863,0,0
0,1,0,1,9498,-9660,159900.0,3,2,143242,2864883,0,0
0,1,0,1,9487,-9696,159900.0,3,2,143243,2864903,0,0
0,1,0,1,9485,-9687,159900.0,3,2,143244,2864923,0,0
0,1,0,1,9477,-9666,159900.0,3,2,143245,2864943,0,0
0,1,0,1,9473,-9696,159900.0,3,2,143246,2864963,0,0
0,1,0,1,9477,-9679,159900.0,3,2,143247,2864983,0,0
0,1,0,1,9490,-9689,159900.0,3,2,143248,2865003,0,0
0,1,0,1,9504,-9689,159900.0,3,2,143249,2865023,0,0
0,1,0,1,9513,-9660,159900.0,3,2,143250,2865043,0,0
0,1,0,1,9490,-9710,159900.0,3,2,143251,2865063,0,0
0,1,0,1,9475,-9668,159900.0,3,2,143252,2865083,0,0
0,1,0,1,9454,-9689,159900.0,3,2,143253,2865103,0,0
0,1,0,1,9467,-9675,159900.0,3,2,143254,2865123,0,0
0,1,0,1,9487,-9660,159900.0,3,2,143255,2865143,0,0
0,1,0,1,9510,-9712,159900.0,3,2,143256,2865163,0,0
0,1,0,1,9494,-9666,159900.0,3,2,143257,2865183,0,0
0,1,0,1,9467,-9698,159900.0,3,2,143258,2865203,0,0
0,1,0,1,9448,-9683,159900.0,3,2,143259,2865223,0,0
0,1,0,1,9467,-9681,159900.0,3,2,143260,2865243,0,0
0,1,0,1,9481,-9706,159900.0,3,2,143261,2865263,0,0
0,1,0,1,9504,-9656,159900.0,3,2,143262,2865283,0,0
0,1,0,1,9513,-9683,159900.0,3,2,143263,2865303,0,0
0,1,0,1,9496,-9698,159900.0,3,2,143264,2865323,0,0
0,1,0,1,9483,-9679,159900.0,3,2,143265,2865343,0,0
0,1,0,1,9475,-9704,159900.0,3,2,143266,2865363,0,0
